district,net,D,D vote,R,R vote
MN-5,46.9,Ilhan Omar,73.5,Cicely Davis,26.5
CA-17,47.6,Ro Khanna,73.8,Ritesh Tandon,26.2
FL-20,47.6,Sheila Cherfilus-McCormick,73.8,Drew Montez Clark,26.2
CA-8,47.9,John Garamendi,73.9,Rudy Recile,26.1
CA-2,48.4,Jared Huffman,74.2,Douglas Brower,25.8
GA-4,48.7,Henry C. “Hank” Johnson Jr.,74.3,Jonathan Chavez,25.7
GA-5,48.7,Nikema Williams,74.3,Christian Zimm,25.7
TX-9,48.8,Al Green,74.4,Jimmy I. Leon,25.6
GA-13,48.9,David Scott,74.5,Caesar Gonzales,25.5
MD-7,49.0,Kweisi Mfume,74.5,Scott M. Collier,25.5
MO-1,49.8,Cori Bush,73.2,Andrew Jones,23.4
FL-24,49.9,Frederica Wilson,75.0,Jesus G. Navarro,25.0
CO-1,50.7,Diana DeGette,73.3,Jennifer Qualteri,22.7
NY-14,51.3,Alexandria Ocasio-Cortez,74.0,Tina Forte,22.8
LA-2,53.1,Troy A. Carter,76.6,Dan Lux,23.4
CA-44,54.0,Nanette Diaz Barragan,77.0,Paul Jones,23.0
OH-11,54.0,Shontel Brown,77.0,Eric J. Brewer,23.0
NY-8,54.7,Hakeem S. Jeffries,77.4,Yuri Dashevsky,22.6
NJ-10,55.2,Donald M. Payne Jr.,75.6,David H. Pinckney,20.4
NY-10,55.4,Daniel Goldman,76.0,Benine Hamdan,20.7
NY-12,59.2,Jerrold L. Nadler,77.9,Michael Zumbluskas,18.8
CA-43,59.7,Maxine Waters,79.8,Omar Navarro,20.2
NY-7,61.7,Nydia M. Velázquez,80.9,Juan Pagán,19.1
NY-5,63.3,Gregory Meeks,81.7,Paul King,18.3
WA-7,69.5,Pramila Jayapal,84.8,Cliff Moon,15.2
NY-15,70.4,Ritchie J. Torres,85.2,Stylo A. Sapaskis,14.8
CA-11,72.8,Nancy Pelosi,86.4,John Dennis,13.6
MA-7,73.1,Ayanna S. Pressley,86.5,Donnie Dionicio Palmer Jr.,13.5
MD-4,73.2,Glenn F. Ivey,86.6,Jeff Warner,13.4
CA-10,75.7,Mark DeSaulnier,75.7,,0.0
CA-12,79.6,Barbara Lee,89.8,Stephen Slauson,10.2
NY-9,87.4,Yvette Clarke,87.4,,0.0
PA-3,91.2,Dwight Evans,91.2,,0.0
CA-37,100.0,Sydney Kamlager,63.3,,0.0
CA-34,100.0,Jimmy Gomez,54.9,,0.0
IL-7,100.0,Danny K. Davis,100.0,,0.0
CA-30,100.0,Adam B. Schiff,75.0,,0.0
CA-29,100.0,Tony Cardenas,64.3,,0.0
MA-4,100.0,Jake Auchincloss,100.0,,0.0
NY-13,100.0,Adriano Espaillat,100.0,,0.0
CA-15,100.0,Kevin Mullin,58.3,,0.0
CA-16,100.0,Anna G. Eshoo,67.6,,0.0
